,img_id,num_matched_kps,num_inliers,num_matched_map_points,num_kf_ref_tracked_points,descriptor_distance_sigma
0,1,,,,,0.45
1,2,,,,,0.45
2,3,,,,,0.45
3,4,,,,,0.45
4,5,,,,,0.45
5,6,,,,,0.554388186854124
6,7,565.0,,94.0,108.0,0.5408220611724257
7,8,80.0,,92.0,106.0,0.5206460660606325
8,9,85.0,,105.0,117.0,0.5034836505456001
9,10,96.0,,104.0,116.0,0.4900540952542332
10,11,87.0,,101.0,124.0,0.4717491524218536
11,12,85.0,,117.0,128.0,0.4566906207819894
12,13,102.0,,118.0,149.0,0.4463244694908066
13,14,98.0,,121.0,164.0,0.43427311334114704
14,15,97.0,,137.0,179.0,0.4276044458422193
